model-obs-name,test,season,p,ss,slope,lcl,ucl
HOTSS_v1.01,mann-kendall 3pw,season 1,0.5142234581271419,0,0.00221340768565868,-0.0034852794752403314,0.00938322885870078
HOTSS_v1.01,mann-kendall 3pw,season 2,0.33930454639039054,0,0.00712168529789622,-0.0037332014035702816,0.016372512497028806
HOTSS_v1.01,mann-kendall 3pw,season 3,0.4872648904642325,0,0.004599679351732654,-0.006387894475235434,0.012404406283573173
HOTSS_v1.01,mann-kendall 3pw,season 4,0.36682169288264443,0,0.0023425922803889812,-0.003429951737150782,0.010132819455460016
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-0,0.8125085458048833,0,-0.0001374375751535048,-0.008999662191559381,0.01188703872927223
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-1,0.31389928595925776,-1,0.007367124199534973,-0.005410983724447386,0.020109085190660497
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-2,0.8602887048423336,0,-2.774073166685333e-05,-0.007772169581219759,0.008693081621171751
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-3,0.9895648601306644,0,-0.0007254357878723004,-0.01587830868834659,0.012974967048347085
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-4,0.47631814930619676,-1,nan,nan,nan
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.34923079488169817,-1,0.0020322761419129974,-0.0028252104586180904,0.007088057993832917
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.34923079488169817,-1,0.0020322761419129974,-0.0028252104586180904,0.007088057993832917
