model-obs-name,test,season,p,ss,slope,lcl,ucl
NanooseObs_1980-2018,mann-kendall 3pw,season 1,0.6565125016248674,0,0.002397640605693928,-0.00593333286204866,0.007028728427256821
NanooseObs_1980-2018,mann-kendall 3pw,season 2,0.6728442148625922,0,0.0030580928971383836,-0.007124054118342968,0.012538196467116066
NanooseObs_1980-2018,mann-kendall 3pw,season 3,0.8808988697656468,0,0.001531220637609419,-0.01095963224765317,0.01228913250422643
NanooseObs_1980-2018,mann-kendall 3pw,season 4,0.6508450294523307,0,-0.0023097741981606273,-0.007869424704998434,0.008153864094176858
NanooseObs_1980-2018,"mann kendall 3pw all seasons, seasonal mk",season-0,0.9095458052651215,0,0.00037348868721581176,-0.011100981951717796,0.012883750874932026
NanooseObs_1980-2018,"mann kendall 3pw all seasons, seasonal mk",season-1,0.2776793977764225,-1,0.008459212835742818,-0.005424078448367532,0.020116109314739825
NanooseObs_1980-2018,"mann kendall 3pw all seasons, seasonal mk",season-2,0.8405809140670599,0,-0.0021324078896569265,-0.010185565931038375,0.0067765792173218545
NanooseObs_1980-2018,"mann kendall 3pw all seasons, seasonal mk",season-3,0.7437665722846407,0,-0.0028887025970842275,-0.01854758810325795,0.010775650953674056
NanooseObs_1980-2018,"mann kendall 3pw all seasons, seasonal mk",season-4,0.7539802549332579,-1,nan,nan,nan
NanooseObs_1980-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.7956444533193345,-1,0.0002040072209747125,-0.005950970576364571,0.006247399564429607
NanooseObs_1980-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.7956444533193345,-1,0.0002040072209747125,-0.005950970576364571,0.006247399564429607
