FID,lat,lon,LH_ID,name,ClosestTG,TG_ID,MIN_YEAR,MAX_YEAR,rank_close
0,48.2979,-123.5316,7,race_rocks_lightstation,"Pedder Bay, B.C.",7080,1967,1969,1
1,48.3767,-123.921,8,sheringham_point_lightstation,"Sooke , B.C.",7020,1972,2011,1
2,48.7866,-125.2156,2,cape_beale_lightstation,"Bamfield, B.C.",8545,1969,2021,1
3,48.8353,-125.1357,11,bamfield_marine_sciences_centre,"Bamfield, B.C.",8545,1969,2021,1
4,48.873,-123.292,0,active_pass_lightstation,"Whaler Bay, B.C.",7532,1967,2002,1
5,48.9222,-125.5408,1,amphitrite_point_lightstation,"Ucluelet, B.C",8595,1969,2021,1
6,49.2092,-123.8081,6,entrance_island_lightstation,"Nanaimo Harbour, B.C.",7917,1976,2021,1
7,49.2103,-123.9554,5,departure_bay_(pbs),"Nanaimo Harbour, B.C.",7917,1976,2021,1
8,49.3405,-123.2328,10,west_van_labs_(caer),"Point Atkinson, B.C.",7795,1965,2021,1
9,49.472,-124.6845,4,chrome_island_lightstation,"False Bay,  B.C.",7982,1969,2016,1
10,49.4861,-124.435,9,sisters_islets_lightstation,"False Bay,  B.C.",7982,1969,2016,1
11,49.9985,-125.1958,3,cape_mudge_lightstation,"Campbell River, B.C.",8074,1965,2021,1
12,49.472,-124.6845,4,chrome_island_lightstation,"Nanaimo Harbour, B.C.",7917,1976,2021,2
13,48.3767,-123.921,8,sheringham_point_lightstation,"Port Renfrew, B.C.",8525,1968,2021,2
14,48.2979,-123.5316,7,race_rocks_lightstation,"Sooke Basin, B.C.",7024,1977,1983,2
15,48.2979,-123.5316,7,race_rocks_lightstation,"Gorge at Craigflower, B.C.",7124,1969,2011,3
16,48.2979,-123.5316,7,race_rocks_lightstation,"Port Renfrew, B.C.",8525,1968,2021,4
17,48.873,-123.292,0,active_pass_lightstation,"Narvaez Bay, B.C.",7345,1965,2009,2
18,48.873,-123.292,0,active_pass_lightstation,"Sand Heads, B.C.",7594,1969,2021,3
19,49.4861,-124.435,9,sisters_islets_lightstation,"Nanaimo Harbour, B.C.",7917,1976,2021,3
20,49.4861,-124.435,9,sisters_islets_lightstation,"French Creek",7940,2018,2019,2
21,49.4861,-124.435,9,sisters_islets_lightstation,"Skerry Bay",7985,1978,1978,4
22,49.4861,-124.435,9,sisters_islets_lightstation,"Winchelsea is.",7935,1967,1982,5
23,49.4861,-124.435,9,sisters_islets_lightstation,"Nanoose Bay",7930,1976,1993,6
24,49.2103,-123.9554,5,departure_bay_(pbs),"Winchelsea is.",7935,1967,1982,2
25,49.2103,-123.9554,5,departure_bay_(pbs),"Silva Bay",7550,1967,2002,3
26,49.2103,-123.9554,5,departure_bay_(pbs),"North Galiano BC",7435,1972,2017,4
27,49.2103,-123.9554,5,departure_bay_(pbs),"Point Atkinson, B.C.",7795,1965,2021,5
28,49.2092,-123.8081,6,entrance_island_lightstation,"Winchelsea is.",7935,1967,1982,2
29,49.2092,-123.8081,6,entrance_island_lightstation,"Point Atkinson, B.C.",7795,1965,2021,3
30,49.472,-124.6845,4,chrome_island_lightstation,"Little River BC",7993,1967,1994,3
31,49.472,-124.6845,4,chrome_island_lightstation,"Winchelsea is.",7935,1967,1982,4
32,48.9222,-125.5408,1,amphitrite_point_lightstation,"Bamfield, B.C",8545,1969,2021,2
33,48.873,-123.292,0,active_pass_lightstation,"Tumbo Channel",7510,1965,2001,4
34,48.873,-123.292,0,active_pass_lightstation,"Tsawwassen BC",7590,1967,1978,5
35,48.873,-123.292,0,active_pass_lightstation,"Fulford Harbour",7330,1965,1992,6
36,49.472,-124.6845,4,chrome_island_lightstation,"Nanoose Bay",7930,1976,1993,5
37,49.472,-124.6845,4,chrome_island_lightstation,"Point Atkinson, B.C.",7795,1965,2021,6
38,49.4861,-124.435,9,sisters_islets_lightstation,"Point Atkinson, B.C.",7795,1965,2021,7
39,48.873,-123.292,0,active_pass_lightstation,"Point Atkinson, B.C.",7795,1965,2021,7
40,48.2979,-123.5316,7,race_rocks_lightstation,"Esquimalt Lagoon, B.C.",7107,1972,1984,5
41,48.2979,-123.5316,7,race_rocks_lightstation,"Esquimalt Lagoon 2, B.C.",7109,1980,2010,6
42,48.2979,-123.5316,7,race_rocks_lightstation,"Victoria Harbour, B.C.",7120,1965,2021,7
