Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
AS04,111.0,Total,2016-01-01,2016-04-15,48.30095,-123.390915,(0.9-0.13j),0.91,-8.03,0.05,2.48,0.03,26.16,-0.02,(0.01-0.02j),0.31,0.31
AS04,111.0,Non-Tidal,2016-01-01,2016-04-15,48.30095,-123.390915,(0.24+0.02j),0.24,4.22,0.05,2.23,0.03,26.04,-0.02,(0.01-0.02j),0.15,0.15
AS04,111.0,Tidal,2016-01-01,2016-04-15,48.30095,-123.390915,(0.95-0.13j),0.96,-8.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AS04,111.0,Total,2016-10-27,2017-04-19,48.30095,-123.390915,(0.89-0.13j),0.9,-8.03,0.04,23.22,0.03,19.66,-0.01,(-0.01-0.01j),0.32,0.32
AS04,111.0,Non-Tidal,2016-10-27,2017-04-19,48.30095,-123.390915,(0.28+0j),0.28,1.03,0.04,23.42,0.03,19.89,-0.01,(-0.01-0.01j),0.16,0.16
AS04,111.0,Tidal,2016-10-27,2017-04-19,48.30095,-123.390915,(0.94-0.14j),0.95,-8.15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AS04,111.0,Total,2017-11-01,2018-03-27,48.30095,-123.390915,(0.89-0.15j),0.9,-9.76,0.06,2.03,0.03,24.44,-0.03,(0.01-0.03j),0.33,0.33
AS04,111.0,Non-Tidal,2017-11-01,2018-03-27,48.30095,-123.390915,(0.28+0.01j),0.28,1.54,0.06,2.49,0.03,24.82,-0.03,(0.01-0.03j),0.17,0.16
AS04,111.0,Tidal,2017-11-01,2018-03-27,48.30095,-123.390915,(0.94-0.16j),0.95,-9.87,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AS04,111.0,Total,2018-03-27,2018-10-29,48.30095,-123.390915,(0.85-0.2j),0.88,-13.22,0.05,50.22,0.05,39.62,0.0,(-0+0.01j),0.32,0.32
AS04,111.0,Non-Tidal,2018-03-27,2018-10-29,48.30095,-123.390915,(0.24-0.1j),0.26,-22.98,0.05,50.09,0.05,39.58,0.0,(-0+0.01j),0.17,0.17
AS04,111.0,Tidal,2018-03-27,2018-10-29,48.30095,-123.390915,(0.91-0.21j),0.93,-13.04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AS04,111.0,Total,2018-10-29,2018-12-31,48.30095,-123.390915,(0.85+0.02j),0.85,1.07,0.11,127.46,0.03,23.39,-0.08,(-0.07+0.1j),0.33,0.3
AS04,111.0,Non-Tidal,2018-10-29,2018-12-31,48.30095,-123.390915,(0.17+0j),0.17,1.64,0.11,127.07,0.03,24.26,-0.08,(-0.07+0.1j),0.2,0.16
AS04,111.0,Tidal,2018-10-29,2018-12-31,48.30095,-123.390915,(0.9+0.02j),0.9,1.04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BDYPM,220.0,Total,2016-01-01,2016-04-14,48.76642,-123.03878,(0.43-0.34j),0.55,-38.22,0.28,34.38,0.01,60.76,-0.28,(-0.16-0.23j),0.5,0.41
BDYPM,220.0,Non-Tidal,2016-01-01,2016-04-14,48.76642,-123.03878,(-0.01+0.03j),0.03,107.06,0.28,34.39,0.01,60.76,-0.28,(-0.16-0.23j),0.36,0.23
BDYPM,220.0,Tidal,2016-01-01,2016-04-14,48.76642,-123.03878,(0.54-0.43j),0.69,-38.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BDYPM,220.0,Total,2016-04-14,2016-10-21,48.76642,-123.03878,(0.31-0.16j),0.35,-28.02,0.23,52.77,0.01,60.76,-0.22,(-0.17-0.13j),0.44,0.39
BDYPM,220.0,Non-Tidal,2016-04-14,2016-10-21,48.76642,-123.03878,(-0.12+0.07j),0.13,150.36,0.23,52.77,0.01,60.76,-0.22,(-0.17-0.13j),0.31,0.22
BDYPM,220.0,Tidal,2016-04-14,2016-10-21,48.76642,-123.03878,(0.43-0.23j),0.49,-28.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BDYPM,220.0,Total,2017-04-18,2017-11-02,48.76642,-123.03878,(0.28-0.14j),0.31,-26.41,0.28,65.1,0.01,60.76,-0.27,(-0.25-0.11j),0.46,0.37
BDYPM,220.0,Non-Tidal,2017-04-18,2017-11-02,48.76642,-123.03878,(-0.07+0.02j),0.08,165.36,0.28,65.1,0.01,60.76,-0.27,(-0.25-0.11j),0.35,0.22
BDYPM,220.0,Tidal,2017-04-18,2017-11-02,48.76642,-123.03878,(0.4-0.19j),0.44,-25.68,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BDYPM,220.0,Total,2017-11-03,2017-11-28,48.76642,-123.03878,(0.01-0.48j),0.48,-89.27,0.27,289.58,0.01,60.76,-0.26,(0.27-0.09j),0.45,0.35
BDYPM,220.0,Non-Tidal,2017-11-03,2017-11-28,48.76642,-123.03878,-999.0,-999.0,-999.0,-999.0,65.1,-999.0,60.76,0.0,-999.0,-999.0,-999.0
